symbol,name,sector,score,signal,trend,momentum,money,value,close,lastDate,ret5,ret20,ret60,rs60,vsSma20,vsSma50,vsSma200,rsi,macdAboveSignal,adx,atrPct,cloud,fromHigh52,volRatio,support1,resistance1,netReal5B,netReal20B,power5,smt5B,liquidityB,eps,pe,sectorPE,peVsSector,entryLow,stop,target1,target2,rr,flags
واتی,سرمایه‌ گذاری‌ آتیه‌ دماوند,سرمایه گذاریها,50.5,خنثی,85,45,45,19,7010,20260922,-0.7,-7,22.4,-17.4,-3.5,9.4,41.9,51.6,false,29.1,3.44,above,-12.2,1.04,5864,7660,26.06,2.45,0.86,-13.8,23.99,537,13.05,7.13,83.1,6769,6528,7660,7980,1.35,
شاروم,پتروشیمی ارومیه,محصولات شیمیایی,50.5,خنثی,100,45,19.8,26,14860,20260922,-11.7,27.9,28.1,-11.7,2.4,16.3,53.5,56.4,false,47.2,3.31,above,-14.3,1.62,13706,17330,-35.72,12.22,0.87,-5.19,15.17,1318,11.27,8.01,40.8,14368,13630,17330,18314,2.01,واگرایی مثبت RSI
لپیام,گسترش صنایع پیام,ساخت دستگاه‌ها و وسایل ارتباطی,50.4,خنثی,100,60,13.6,20,123700,20260922,6.7,64.6,160.5,120.7,21.1,68.2,128.8,91.4,true,85.9,3,above,-4.8,1.75,67838,,-24.28,-20.04,0.92,-11.03,9.76,123,1005.69,,,119986,116272,134843,142271,1.5,اشباع خرید | فاصله زیاد از MA20 | خروج مستمر پول حقیقی | P/E بالا (1006)
بکام,کارخانجات تولیدی شهید قندی,ماشین آلات و دستگاه‌های برقی,50.4,خنثی,90,65,27.5,14,3350,20260922,-7.2,7.8,51.2,11.4,-0.4,19.3,41.3,56.6,false,51.2,3.72,above,-12.1,0.95,3084,3810,-6.46,40.35,0.58,-11.42,14.28,24,139.58,6.15,2169.6,3225,3038,3810,4059,1.48,واگرایی منفی RSI | P/E بالا (140)
سفاسی,شرکت فارسیت اهواز,سایر محصولات کانی غیرفلزی,50.3,خنثی,90,65,56.2,25,4700,20260922,-3.3,11.4,87.5,47.7,-0.5,15.9,54.6,59.5,false,59.7,4.55,above,-8.9,1.15,4110,5160,0,3.31,1.41,2.49,2.02,330,14.24,,,4486,4165,5160,5588,0.86,نقدشوندگی پایین | واگرایی منفی RSI
دماوند,تولید نیروی برق دماوند,عرضه برق، گاز، بخاروآب گرم,50.3,خنثی,90,20,17,60,13020,20260922,-8.3,-0.7,29.1,-10.7,-3.4,8,43.4,49.5,false,31.9,3.62,above,-11.1,0.88,12730,13725,-30.04,19.88,0.6,-21.09,21.06,1503,8.66,10.04,-13.7,12730,12494,13725,14650,1.34,واگرایی منفی RSI
شوینده,مدیریت صنعت شوینده ت.ص.بهشهر,محصولات شیمیایی,50.3,خنثی,90,65,27,14,41480,20260922,-11.9,4.1,50.7,10.9,-0.4,7.4,57,50.6,false,39.4,3.48,above,-14.5,0.83,40410,44300,-9.98,30.2,0.39,-11.22,8.93,1772,23.41,9.63,143.1,40410,39689,44300,48510,1.57,
بانیان,نیان باتری خاوران,ماشین آلات و دستگاه‌های برقی,50.3,خنثی,85,45,37,26,17610,20260922,1.6,-3.7,17.8,-22.1,-1.2,12,,55.3,false,28.9,3.66,above,-10.9,0.8,16842,18040,-9.9,-70.28,2.84,32.68,17.91,1652,10.66,5.95,79.2,16965,16519,18040,19303,0.39,خروج مستمر پول حقیقی
رتکو,کنترل ‌خوردگی ‌تکین ‌کوی,خدمات فنی و مهندسی,50.3,خنثی,100,70,45,20,21670,20260922,14,24.1,88.1,48.2,14.1,32.9,66.5,81.7,true,56.5,3.53,above,0,1.49,19700,,0,0,11,5,1.03,641,33.81,,,20906,19760,23962,25490,1.2,نقدشوندگی پایین | واگرایی منفی RSI | اشباع خرید | P/E بالا (34)
کوچین,تولیدی کوچین,محصولات غذایی و آشامیدنی به جز قند و شکر,50.2,خنثی,70,38,16.5,70,15930,20260922,-12.1,3.5,39.1,-0.7,-7.2,3.3,,43.5,false,40.5,4.19,above,-16.8,0.5,14630,17250,-33.04,13.8,0.54,-47.53,59.38,2530,6.3,7.05,-10.7,15262,14296,17250,19140,0.81,
تادیکو,س.کشت ودام صنایع لبنی تامین,زراعت و خدمات وابسته,50.2,خنثی,73,70,38,19,7550,20260922,-2.2,8.6,23.8,-16,2.6,3.9,,55.5,true,18.8,3.5,,-12.5,1.1,7282,8624,-9.3,-2.11,2.82,80.1,26.34,546,13.83,6.33,118.4,7286,7150,8624,9153,2.69,
دامین,داروسازی‌ امین‌,مواد و محصولات دارویی,50.1,خنثی,85,45,48.6,14,14970,20260922,4.5,-7.9,29.1,-10.8,-0.1,4.7,40.7,51.9,false,20.3,3.84,above,-12.9,0.7,14320,15400,11.16,-91.33,1.06,6.85,41.62,378,39.6,12.91,206.8,14395,14032,15400,16140,0.46,خروج مستمر پول حقیقی | P/E بالا (40)
