symbol,name,sector,score,signal,trend,momentum,money,value,close,lastDate,ret5,ret20,ret60,rs60,vsSma20,vsSma50,vsSma200,rsi,lockedDays20,sellQueueDays5,macdAboveSignal,adx,atrPct,cloud,fromHigh52,volRatio,support1,resistance1,netReal5B,netReal20B,power5,smt5B,liquidityB,eps,pe,sectorPE,peVsSector,entryLow,stop,target1,target2,rr,flags
تیپیکو,سرمایه گذاری دارویی تامین,مواد و محصولات دارویی,64.5,زیر نظر,95,65,62,30,27590,20260926,9.2,-0.5,75.8,37.2,4.3,13,91.1,60.9,5,0,false,21.4,3.36,above,-6.2,0.83,24583,28600,121.12,-186.65,4.96,21.33,173.18,2097,13.16,12.91,1.9,26662,25734,28600,29408,0.54,خروج مستمر پول حقیقی | 91٪ بالای MA200
غمهرا,تولیدی‌مهرام‌,محصولات غذایی و آشامیدنی به جز قند و شکر,64.4,زیر نظر,100,65,28.5,57,19710,20260926,-10.6,8.1,45.7,7.1,1.4,7.5,76.6,53.5,3,0,false,32.1,3.79,above,-12.9,1.23,18850,22640,-18.65,72.56,0.33,-65.11,23.47,2564,7.69,8.53,-9.9,18964,18477,22640,24133,2.38,عرضه حقوقی به حقیقی (-96 میلیارد تومان در ۲۰ روز) | 77٪ بالای MA200 | سرانه خرید ضعیف (0.33)
داوه,داروسازی آوه سینا,مواد و محصولات دارویی,64.3,زیر نظر,100,50,88,9,13480,20260926,3.5,35.1,154.5,115.9,8.6,46.6,166.9,74.7,12,1,false,75.7,3.02,above,-2.6,1.13,12260,13840,59.51,79.81,3.27,73.86,26.75,760,17.74,8.86,100.2,13073,12667,13840,14653,0.44,سهم صفی: 12 روز از ۲۰ روز در صف (ریسک نقدشوندگی و اجرای حد ضرر) | رشد عمودی (154٪ در ۶۰ روز، 47٪ بالای MA50) | عرضه حقوقی به حقیقی (-70 میلیارد تومان در ۲۰ روز) | 167٪ بالای MA200 | صف فروش در ۵ روز اخیر
عالیس,بهار رز عالیس چناران,محصولات غذایی و آشامیدنی به جز قند و شکر,64.1,زیر نظر,90,30,54.5,70,5760,20260926,-4.2,7.7,20,-18.6,-3.9,5.6,51.3,47.3,1,0,false,31.3,4.14,above,-13.4,1.14,5660,5870,72.97,260.58,0.69,-48.33,41.88,1000,5.76,7.05,-18.3,5660,5541,5870,6650,0.5,عرضه حقوقی به حقیقی (-256 میلیارد تومان در ۲۰ روز) | 51٪ بالای MA200 | سرانه خرید ضعیف (0.69)
فاما,صنعتی‌ آما,ساخت محصولات فلزی,64.1,زیر نظر,90,65,26.5,70,6200,20260926,-13.2,14.2,47.1,8.5,-1.1,14.7,89,53,5,2,false,54.2,3.56,above,-15.5,0.93,5360,7340,-4.96,12.86,0.78,-6.75,10.44,922,6.72,7.54,-10.8,5979,5759,7340,7781,2.58,عرضه حقوقی به حقیقی (-11 میلیارد تومان در ۲۰ روز) | 89٪ بالای MA200 | سرانه خرید ضعیف (0.78) | حد ضرر دور (7.1٪) | صف فروش در ۵ روز اخیر
وثنو,سرمایه گذاری ساختمانی نوین,سرمایه گذاریها,64,زیر نظر,100,70,71.2,9,7360,20260926,13.8,46,131.9,93.3,21.2,45.7,125.5,88.3,9,0,true,71.4,2.92,above,-0.9,1.64,6000,,24.33,23.62,1.13,-8.52,12.73,540,13.63,8.73,56.1,7145,6930,8005,8435,1.5,واگرایی منفی RSI | اشباع خرید | فاصله زیاد از MA20 | سهم صفی: 9 روز از ۲۰ روز در صف (ریسک نقدشوندگی و اجرای حد ضرر) | رشد عمودی (132٪ در ۶۰ روز، 46٪ بالای MA50) | عرضه حقوقی به حقیقی (-31 میلیارد تومان در ۲۰ روز) | 125٪ بالای MA200 | واگرایی منفی
چنوپا,نیوپان‌ 22 بهمن‌,محصولات چوبی,64,زیر نظر,75,80,62,40,16900,20260926,7.1,2.2,-4,-42.6,5,11,-15.7,59.7,5,1,true,21.5,3.58,above,-49.2,0.9,16250,17439,0.01,4.33,1.79,-1.32,10.88,620,27.26,,,16296,15948,17439,18660,0.57,عرضه حقوقی به حقیقی (-4 میلیارد تومان در ۲۰ روز) | صف فروش در ۵ روز اخیر
وپخش,داروپخش‌ (هلدینگ‌,مواد و محصولات دارویی,63.9,زیر نظر,88,75,60.2,30,50040,20260926,8.7,2.9,44.7,6.1,5.8,8.9,82,60.9,5,0,false,19.6,3.65,above,-4.1,0.89,47836,51000,29.57,46.57,1.13,-2.95,31.42,3800,13.17,12.91,2,48215,46924,51000,52180,0.31,واگرایی منفی RSI | عرضه حقوقی به حقیقی (-51 میلیارد تومان در ۲۰ روز) | 82٪ بالای MA200 | واگرایی منفی | شناوری کم (11٪)
وبشهر,توسعه‌ صنایع‌ بهشهر(هلدینگ,محصولات غذایی و آشامیدنی به جز قند و شکر,63.9,زیر نظر,100,65,59.7,24,7180,20260926,-1.6,31.3,44.9,6.3,8.9,25.5,100.6,68.2,7,0,false,50,3.4,above,-6.8,1.03,5650,7700,10.06,22.65,1.05,-8.73,18.28,748,9.6,8.53,12.5,6936,6691,7700,8189,1.06,سهم صفی: 7 روز از ۲۰ روز در صف (ریسک نقدشوندگی و اجرای حد ضرر) | عرضه حقوقی به حقیقی (-14 میلیارد تومان در ۲۰ روز) | 101٪ بالای MA200
خدیزل,بهمن  دیزل,خودرو و ساخت قطعات,63.9,زیر نظر,90,20,53.5,78,1706,20260926,-5.7,-0.5,4.7,-33.9,-4.3,2.4,32.2,45.9,1,1,false,28,4.17,above,-10.9,0.64,1663,1749,2.87,24.26,0.7,-2,8.96,348,4.9,5.87,-16.5,1663,1627,1749,1793,0.55,عرضه حقوقی به حقیقی (-23 میلیارد تومان در ۲۰ روز) | سرانه خرید ضعیف (0.70) | نقدشوندگی کمتر از ۱۰ میلیارد تومان | صف فروش در ۵ روز اخیر
تاصیکو,سرمایه گذاری صدرتامین,استخراج کانه های فلزی,63.8,زیر نظر,100,70,75,4,31740,20260926,12.5,47.2,155.4,116.8,26.6,55.9,163.7,92.3,10,0,true,70.9,3.18,above,0,0.8,29400,,450.14,1472.3,3.77,-307.75,337.92,560,56.68,13.76,311.9,30732,29220,34764,36779,1.2,اشباع خرید | فاصله زیاد از MA20 | سهم صفی: 10 روز از ۲۰ روز در صف (ریسک نقدشوندگی و اجرای حد ضرر) | رشد عمودی (155٪ در ۶۰ روز، 56٪ بالای MA50) | P/E بالا (57) | عرضه حقوقی به حقیقی (-1263 میلیارد تومان در ۲۰ روز) | 164٪ بالای MA200 | حد ضرر دور (7.9٪)
دحاوی,الحاوی,مواد و محصولات دارویی,63.6,زیر نظر,100,70,96.5,42,5140,20260923,12.2,39.7,187.1,148.5,18.3,49.3,146.7,99.6,20,0,true,94,2.31,above,-0.4,1.42,2354,,1.6,1.36,7.01,2.66,0.42,849,6.05,,,5021,4903,5496,5733,1.5,نقدشوندگی پایین | اشباع خرید | فاصله زیاد از MA20 | سهم صفی: 20 روز از ۲۰ روز در صف (ریسک نقدشوندگی و اجرای حد ضرر) | رشد عمودی (187٪ در ۶۰ روز، 49٪ بالای MA50) | عرضه حقوقی به حقیقی (-1 میلیارد تومان در ۲۰ روز) | 147٪ بالای MA200 | نقدشوندگی کمتر از ۱۰ میلیارد تومان | آخرین معامله 20260923 (متوقف یا کم‌معامله)
شجم,صنایع پتروشیمی تخت جمشید,محصولات شیمیایی,63.6,زیر نظر,100,45,26.4,72,10400,20260926,-0.7,11.1,6.6,-32,1,14.4,17.8,57.5,0,0,false,31.1,3.65,above,-5.9,1.2,9896,10845,-0.28,-8.86,1.16,4.34,10.87,1969,5.28,8.01,-34.1,10020,9706,10845,11050,0.64,واگرایی منفی RSI | واگرایی منفی
وکبهمن,مدیریت سرمایه گذاری کوثربهمن,سرمایه گذاریها,63.6,زیر نظر,100,53,20,72,3830,20260926,-2,13.3,36.7,-1.9,5.2,18.3,63.1,66,1,0,false,46.2,3.71,above,-3.8,0.78,3480,3980,-13.75,-17.37,3.4,-1.11,4.37,671,5.71,8.73,-34.6,3688,3475,3980,4264,0.42,خروج مستمر پول حقیقی | 63٪ بالای MA200 | حد ضرر دور (9.3٪) | نقدشوندگی کمتر از ۱۰ میلیارد تومان
وساپا,سرمایه‌گذاری‌ سایپا,سرمایه گذاریها,63.5,زیر نظر,100,65,2,80,9240,20260926,-4.3,16.5,51.1,12.5,1.2,23.5,63.9,60.5,3,0,false,44.7,3.8,above,-8.4,1.08,8870,,-379.44,-245.03,0.57,-627.64,268.22,2887,3.2,7.13,-55.1,8889,8694,10293,10995,1.93,64٪ بالای MA200 | سرانه خرید ضعیف (0.57)
بموتو,موتوژن‌,ماشین آلات و دستگاه‌های برقی,63.4,زیر نظر,85,30,70.7,57,3170,20260926,-2.8,2.6,26.9,-11.7,-7.2,6.5,45.6,45.4,0,0,false,39.2,4.3,above,-18.5,0.46,3080,3890,8.02,32.93,0.91,1.07,13.06,484,6.55,6.15,6.5,3080,3012,3890,4163,4.55,عرضه حقوقی به حقیقی (-34 میلیارد تومان در ۲۰ روز) | شناوری کم (14٪)
کسعدی,کاشی‌ سعدی‌,کاشی و سرامیک,63.4,زیر نظر,100,70,88.5,9,28440,20260923,15.8,79.4,224.7,186.1,30.2,63.5,201.5,95.7,16,0,true,72.5,2.32,above,0,0.73,16500,,6.82,44.12,2.3,21.22,12.15,1590,17.89,7.65,133.8,27780,27120,30420,31740,1.5,واگرایی منفی RSI | اشباع خرید | فاصله زیاد از MA20 | سهم صفی: 16 روز از ۲۰ روز در صف (ریسک نقدشوندگی و اجرای حد ضرر) | رشد عمودی (225٪ در ۶۰ روز، 63٪ بالای MA50) | عرضه حقوقی به حقیقی (-44 میلیارد تومان در ۲۰ روز) | 202٪ بالای MA200 | واگرایی منفی | آخرین معامله 20260923 (متوقف یا کم‌معامله)
لخزر,پارس‌ خزر,ماشین آلات و تجهیزات,63.4,زیر نظر,90,65,15.5,78,4600,20260926,-8.2,4.5,47.2,8.6,-1.5,17.2,51.4,54.6,2,1,false,43.6,3.35,above,-11.5,0.5,4375,4710,-2.73,5.86,0.49,-15.37,14.61,1120,4.11,5.15,-20.2,4446,4298,4710,5200,0.36,واگرایی منفی RSI | عرضه حقوقی به حقیقی (-7 میلیارد تومان در ۲۰ روز) | 51٪ بالای MA200 | سرانه خرید ضعیف (0.49) | واگرایی منفی | شناوری کم (10٪) | صف فروش در ۵ روز اخیر
وسبحان,سرمایه گذاری سبحان,سرمایه گذاریها,63.4,زیر نظر,100,65,1.5,80,3350,20260926,-1.8,3.8,72.2,33.6,1.1,16.9,79.8,59.8,0,0,false,51.2,3.45,above,-5.6,0.86,3290,3550,-1.48,-20.67,0.68,-12.31,7.59,956,3.5,8.73,-59.9,3290,3232,3550,3781,1.7,واگرایی منفی RSI | خروج مستمر پول حقیقی | 80٪ بالای MA200 | سرانه خرید ضعیف (0.68) | واگرایی منفی | نقدشوندگی کمتر از ۱۰ میلیارد تومان
شستان,پتروشیمی شهید رئیسی گلستان,محصولات شیمیایی,63.4,زیر نظر,100,63,63,20,1848,20260926,3.4,4.3,29.4,-9.2,0.1,13.5,25.6,58.4,0,0,false,28.1,3.92,above,-8.2,0.79,1739,1924,0.87,1.46,1.02,0.17,3.57,7,264,,,1776,1703,1924,2003,0.52,واگرایی منفی RSI | P/E بالا (264) | عرضه حقوقی به حقیقی (-1 میلیارد تومان در ۲۰ روز) | واگرایی منفی | حد ضرر دور (7.9٪) | نقدشوندگی کمتر از ۱۰ میلیارد تومان
اتکای,بیمه اتکایی ایرانیان,بیمه وصندوق بازنشستگی به جزتامین اجتماعی,63.2,زیر نظر,100,70,4.6,72,3350,20260926,6,24.6,78,39.4,13,39.7,89.8,84.5,2,0,true,69.3,3.37,above,-2.6,0.67,2936,,-21.95,-19.43,0.87,-19.96,12.64,612,5.47,18.13,-69.8,3237,3125,3688,3914,1.5,اشباع خرید | خروج مستمر پول حقیقی | رشد عمودی (78٪ در ۶۰ روز، 40٪ بالای MA50) | 90٪ بالای MA200
پارسیان,بیمه پارسیان,بیمه وصندوق بازنشستگی به جزتامین اجتماعی,63.2,زیر نظر,100,63,2.2,80,1835,20260926,0.8,12.2,34.6,-4,1.4,16.9,45.8,59.3,1,0,false,51.7,3.71,above,-6.9,0.81,1670,1970,-4.69,-16.62,0.85,-6.34,8.23,865,2.12,4.59,-53.8,1767,1665,1970,2106,0.79,خروج مستمر پول حقیقی | حد ضرر دور (9.3٪) | نقدشوندگی کمتر از ۱۰ میلیارد تومان
سامان,بانک سامان,بانکها و موسسات اعتباری,63.1,زیر نظر,100,75,0.5,72,8640,20260926,1.4,5,59.3,20.7,3.2,13.1,111.1,64.9,1,0,false,46.8,2.91,above,-1.6,0.77,8500,8747,-179.88,-849.67,0.39,-170.34,92,1396,6.19,12.04,-48.6,8500,8374,8747,9250,0.4,خروج مستمر پول حقیقی | 111٪ بالای MA200 | سرانه خرید ضعیف (0.39)
خزامیا,زامیاد,خودرو و ساخت قطعات,63.1,زیر نظر,100,75,52.5,20,1749,20260926,4.1,12.7,51.1,12.5,4.4,23.7,48.3,66,3,1,false,45.1,3.35,above,-1.7,1.03,1727,,68.93,-76.24,1.18,82.84,156.59,85,20.58,,,1727,1698,1925,2042,3.43,واگرایی منفی RSI | واگرایی منفی | صف فروش در ۵ روز اخیر
حخزر,کشتیرانی دریای خزر,حمل و نقل آبی,63,زیر نظر,100,60,60.2,24,10770,20260926,4.4,51.7,194,155.4,18.5,48.7,189,88,4,0,true,79.4,2.99,above,-2.7,1.08,6430,,14.42,47.24,1.07,-4.04,24.69,944,11.41,10.36,10.1,10448,10126,11736,12380,1.5,واگرایی منفی RSI | اشباع خرید | فاصله زیاد از MA20 | رشد عمودی (194٪ در ۶۰ روز، 49٪ بالای MA50) | عرضه حقوقی به حقیقی (-28 میلیارد تومان در ۲۰ روز) | 189٪ بالای MA200 | واگرایی منفی
کلوند,کاشی‌ الوند,کاشی و سرامیک,62.9,زیر نظر,90,63,56.1,37,6900,20260926,0.3,3.8,37.8,-0.8,-2.1,12.8,60.3,54.8,2,0,false,33.9,3.62,above,-9.7,0.96,6740,7240,10.81,15.69,0.95,-1.52,13.5,820,8.41,7.65,10,6740,6615,7240,7640,1.19,واگرایی منفی RSI | عرضه حقوقی به حقیقی (-15 میلیارد تومان در ۲۰ روز) | 60٪ بالای MA200 | واگرایی منفی
کپرسپولیس,مجتمع کاشی و سنگ پرسپولیس یزد,کاشی و سرامیک,62.9,زیر نظر,100,53,52,37,8680,20260926,-0.8,5.9,37.2,-1.4,3.3,14,,61.1,3,0,false,36.5,3.45,above,-5.4,0.93,8440,8790,-16.45,4.62,2.51,38.41,18.08,966,8.99,9.26,-3,8440,8290,8790,9389,0.28,واگرایی منفی RSI | عرضه حقوقی به حقیقی (-14 میلیارد تومان در ۲۰ روز) | واگرایی منفی
آردینه,نشاسته و گلوکز آردینه,محصولات غذایی و آشامیدنی به جز قند و شکر,62.8,زیر نظر,70,40,78,57,31770,20260926,-6.9,-1.3,39,0.4,-3.4,5.6,63.8,48.2,4,0,false,26,4.05,above,-14.1,0.49,31300,33080,2.35,24.03,1.68,8.73,29.23,4668,6.81,7.05,-3.5,31300,30656,33080,36980,1.18,عرضه حقوقی به حقیقی (-22 میلیارد تومان در ۲۰ روز) | 64٪ بالای MA200
وآفری,بیمه کارآفرین,بیمه وصندوق بازنشستگی به جزتامین اجتماعی,62.8,زیر نظر,100,60,89,34,9150,20260926,9.6,30.2,107,68.4,11.1,39.5,152.4,77.2,7,0,false,62.6,3.14,above,0,0.7,8830,,1.78,6.41,2.55,1,1.81,1680,5.45,4.59,18.7,8863,8687,10011,10585,1.86,نقدشوندگی پایین | سهم صفی: 7 روز از ۲۰ روز در صف (ریسک نقدشوندگی و اجرای حد ضرر) | رشد عمودی (107٪ در ۶۰ روز، 40٪ بالای MA50) | عرضه حقوقی به حقیقی (-6 میلیارد تومان در ۲۰ روز) | 152٪ بالای MA200 | نقدشوندگی کمتر از ۱۰ میلیارد تومان
فسبزوار,پارس فولاد سبزوار,فلزات اساسی,62.6,زیر نظر,100,65,6.5,72,73480,20260926,-2.7,4.3,41.3,2.7,0.1,6.6,58.8,51.9,3,0,false,25.5,3.64,above,-9.2,0.67,71720,74940,-0.69,-61.34,1,-2.77,60.94,14489,5.07,13.48,-62.4,71720,70384,74940,80950,0.47,واگرایی منفی RSI | خروج مستمر پول حقیقی | 59٪ بالای MA200 | واگرایی منفی
کلر,کلر پارس,محصولات شیمیایی,62.6,زیر نظر,100,45,37.5,57,11350,20260926,0.4,3,14.6,-24,0.1,10.9,55.2,56,4,0,false,23.2,3.64,above,-11.3,0.98,10961,11500,-9.83,-23.79,2.89,4.39,18.64,1504,7.55,8.01,-5.8,10961,10754,11500,12800,0.25,واگرایی منفی RSI | خروج مستمر پول حقیقی | 55٪ بالای MA200 | واگرایی منفی
هجرت,پخش هجرت,مواد و محصولات دارویی,62.6,زیر نظر,95,65,47.5,37,8230,20260926,3.5,-2.8,85.5,46.9,0.5,11.3,114.8,58.2,1,0,false,29.7,3.79,above,-5.9,0.61,7965,8520,6.4,-63.33,2.41,-6.04,47.01,888,9.27,8.86,4.6,7965,7809,8520,8735,0.69,خروج مستمر پول حقیقی | 115٪ بالای MA200
خموتور,موتورسازان‌تراکتورسازی‌ایران‌,خودرو و ساخت قطعات,62.6,زیر نظر,85,43,62,52,2236,20260926,-1.4,-6.9,30.5,-8.1,-1.7,5.6,20,50.8,1,0,false,39.8,4.17,above,-16.6,0.83,2203,2430,16.99,-0.84,1.72,12.73,9.2,385,5.81,,,2203,2157,2430,2681,2.44,نقدشوندگی کمتر از ۱۰ میلیارد تومان
خمحور,تولیدمحورخودرو,خودرو و ساخت قطعات,62.6,زیر نظر,78,45,68.8,52,5250,20260926,-7.1,2.7,1.2,-37.4,-1.7,8.6,35.6,51.2,4,0,false,16.2,3.56,above,-11.3,0.48,5070,5330,0.03,1.07,1.21,2.16,5.57,785,6.69,,,5070,4977,5330,5540,0.29,عرضه حقوقی به حقیقی (-1 میلیارد تومان در ۲۰ روز) | نقدشوندگی کمتر از ۱۰ میلیارد تومان | شناوری کم (9٪)
الکتروماد,صنایع الکترونیک مادیران,ماشین آلات و تجهیزات,62.6,زیر نظر,90,40,20.2,90,4520,20260926,-12.1,-3,81.7,43.1,-5.1,11.1,74.6,48,4,1,false,52.5,3.62,above,-15.8,0.79,4375,4790,-18.41,-16.42,0.93,0.12,19.31,957,4.72,9.66,-51.1,4375,4293,4790,5370,1.19,واگرایی منفی RSI | 75٪ بالای MA200 | واگرایی منفی | صف فروش در ۵ روز اخیر
غدیس,پاکدیس,محصولات غذایی و آشامیدنی به جز قند و شکر,62.6,زیر نظر,81,55,52,57,12140,20260926,-2.9,-4.7,94.7,56.1,-0.7,3.6,65.6,50.8,1,1,false,20.7,3.98,inside,-15,0.54,11690,13000,0.22,37.06,0.55,-8.14,12.5,1819,6.67,7.05,-5.3,11690,11449,13000,13220,1.24,عرضه حقوقی به حقیقی (-34 میلیارد تومان در ۲۰ روز) | 66٪ بالای MA200 | سرانه خرید ضعیف (0.55) | صف فروش در ۵ روز اخیر
فولاد,فولاد مبارکه اصفهان,فلزات اساسی,62.5,زیر نظر,100,70,2.2,72,3260,20260926,-1.2,20.9,-1.1,-39.7,8.6,20.9,36.6,66.8,3,0,true,45.8,3.37,above,-4.4,0.92,3094,3409,-1242.52,-70.69,0.83,-1507.17,1179.79,518,6.29,13.48,-53.3,3150,3039,3409,3629,0.67,
تماوند,تامین سرمایه دماوند,فعالیتهای کمکی به نهادهای مالی واسط,62.5,زیر نظر,90,70,26,60,2429,20260926,-3,4.4,10.3,-28.3,3.8,10.3,10.2,59.5,0,0,true,25.1,3.95,above,-8,0.81,2384,2521,-5.39,14.62,0.57,-9.07,5.69,337,7.21,9.46,-23.8,2384,2336,2521,2566,0.99,واگرایی منفی RSI | عرضه حقوقی به حقیقی (-18 میلیارد تومان در ۲۰ روز) | سرانه خرید ضعیف (0.57) | واگرایی منفی | نقدشوندگی کمتر از ۱۰ میلیارد تومان
وتوصا,گروه س توسعه صنعتی ایران,سرمایه گذاریها,62.5,زیر نظر,90,65,0,90,3050,20260926,-6.7,0,52.7,14.1,-1.4,13.9,61.6,53.7,0,0,false,54.9,4.19,above,-10.6,0.99,2864,3124,-9.54,-27.54,0.7,-11.16,7.34,642,4.75,7.13,-33.4,2922,2800,3124,3410,0.3,واگرایی منفی RSI | خروج مستمر پول حقیقی | 62٪ بالای MA200 | سرانه خرید ضعیف (0.70) | واگرایی منفی | حد ضرر دور (8.2٪) | نقدشوندگی کمتر از ۱۰ میلیارد تومان
ومعادن,توسعه‌معادن‌وفلزات‌,استخراج کانه های فلزی,62.4,زیر نظر,100,65,17.5,60,3300,20260926,-6.5,17.2,51.4,12.8,2.6,22.4,65.4,59.5,4,1,false,48,4.15,above,-12.7,0.73,2965,3780,-146.3,119.17,0.35,-632.54,400.39,318,10.38,13.76,-24.6,3163,2958,3780,4054,1.4,عرضه حقوقی به حقیقی (-103 میلیارد تومان در ۲۰ روز) | 65٪ بالای MA200 | سرانه خرید ضعیف (0.35) | حد ضرر دور (10.4٪) | صف فروش در ۵ روز اخیر
وتوشه,سرمایه‌ گذاری‌ پارس‌ توشه‌,ماشین آلات و تجهیزات,62.4,زیر نظر,100,55,17.5,68,8430,20260926,1.4,1,22.8,-15.8,1.6,11,44.1,57.8,0,0,false,44.6,3.89,above,-4.2,0.79,8030,8550,-0.97,0.77,0.79,-10.98,10.66,2049,4.11,5.15,-20.1,8102,7866,8550,8775,0.21,واگرایی منفی RSI | عرضه حقوقی به حقیقی (-2 میلیارد تومان در ۲۰ روز) | سرانه خرید ضعیف (0.79) | واگرایی منفی
ساینا,صنایع بهداشتی ساینا,محصولات شیمیایی,62.1,زیر نظر,100,50,28.5,60,12700,20260926,3.3,15.1,105.5,66.9,9.1,22.9,127,70.1,4,0,false,51.5,3.57,above,-3.6,0.6,11900,13170,-5.58,-67.86,1.22,4.19,22.24,1820,6.98,8.01,-12.9,12246,11673,13170,14078,0.46,خروج مستمر پول حقیقی | رشد عمودی (106٪ در ۶۰ روز، 23٪ بالای MA50) | 127٪ بالای MA200 | حد ضرر دور (8.1٪)
غشهداب,کشت و صنعت شهداب ناب خراسان,محصولات غذایی و آشامیدنی به جز قند و شکر,62.1,زیر نظر,100,65,16.5,60,2400,20260926,-7.1,8.2,110.7,72.1,0.9,13,70.1,57.5,2,0,false,46.4,4.3,above,-9.8,0.69,2214,2662,-5.57,4.27,0.68,-16.19,22.85,401,5.99,7.05,-15.1,2297,2162,2662,2868,1.1,رشد عمودی (111٪ در ۶۰ روز، 13٪ بالای MA50) | عرضه حقوقی به حقیقی (-5 میلیارد تومان در ۲۰ روز) | 70٪ بالای MA200 | سرانه خرید ضعیف (0.68) | حد ضرر دور (9.9٪)
شمواد,تولید مواداولیه الیاف مصنوعی,محصولات شیمیایی,62.1,زیر نظر,100,75,36.5,32,13420,20260926,4.5,30.5,88,49.4,12.2,31.7,173.1,76.6,8,0,true,52.4,3.31,above,-0.1,0.9,12290,,-20.44,-116.68,4.33,11.38,24.2,1509,8.89,,,12976,12310,14752,15640,1.2,خروج مستمر پول حقیقی | سهم صفی: 8 روز از ۲۰ روز در صف (ریسک نقدشوندگی و اجرای حد ضرر) | رشد عمودی (88٪ در ۶۰ روز، 32٪ بالای MA50) | 173٪ بالای MA200 | حد ضرر دور (8.3٪)
شگستر,گسترش سوخت سبززاگرس(سهامی عام),محصولات شیمیایی,62.1,زیر نظر,100,45,88.5,4,2036,20260926,10.8,44.2,100.6,62,13.9,49.9,92.9,80.7,14,0,false,63.4,2.85,above,0,0.81,1998,,27.87,125.6,3.52,14.39,49.63,36,56.56,9.63,487.3,1998,1969,2210,2326,2.6,اشباع خرید | سهم صفی: 14 روز از ۲۰ روز در صف (ریسک نقدشوندگی و اجرای حد ضرر) | رشد عمودی (101٪ در ۶۰ روز، 50٪ بالای MA50) | P/E بالا (57) | عرضه حقوقی به حقیقی (-118 میلیارد تومان در ۲۰ روز) | 93٪ بالای MA200
وصنا,گروه‌صنایع‌بهشهرایران‌,سرمایه گذاریها,62.1,زیر نظر,100,75,21.4,47,5950,20260926,2.8,19,96.8,58.2,3.1,20.1,94.5,64.5,4,0,false,53.1,3.42,above,-7.2,0.65,5540,6410,-16.73,-56.44,1.59,-7.2,14.86,842,7.07,7.13,-0.9,5747,5442,6410,6817,0.91,خروج مستمر پول حقیقی | 95٪ بالای MA200 | حد ضرر دور (8.5٪)
حپرتو,پرتو بار فرابر خلیج فارس,حمل ونقل، انبارداری و ارتباطات,61.9,زیر نظر,100,60,55.8,24,10760,20260926,10.6,20.8,77.3,38.7,6.9,30.4,38.6,72.4,6,0,false,49.2,3.42,above,-2.1,1,10274,10990,2.37,-7.25,1.31,1.56,13.79,1121,9.6,7.68,25,10392,10091,10990,11712,0.34,سهم صفی: 6 روز از ۲۰ روز در صف (ریسک نقدشوندگی و اجرای حد ضرر) | رشد عمودی (77٪ در ۶۰ روز، 30٪ بالای MA50)
دفارا,داروسازی‌ فارابی‌,مواد و محصولات دارویی,61.7,زیر نظر,95,75,22.6,50,18170,20260926,2.7,4.1,72.2,33.6,3.8,18.3,112.1,62.2,1,0,false,43.2,3.62,above,-3.7,1.13,16663,18590,-1.82,4.43,1.01,-75.09,85.46,1956,9.29,12.91,-28,17512,16526,18590,18870,0.26,112٪ بالای MA200 | حد ضرر دور (9.1٪)
غدانه,پنبه و دانه های روغنی خراسان,محصولات غذایی و آشامیدنی به جز قند و شکر,61.6,زیر نظر,90,65,16.5,70,17870,20260926,-3.1,0.2,83.7,45.1,-0.2,4.7,57.7,52.1,4,1,false,38.7,3.58,above,-10.4,0.66,17400,19610,-7.25,25.08,0.77,-30.96,48.75,3417,5.23,7.05,-25.8,17400,17080,19610,19950,2.2,واگرایی منفی RSI | عرضه حقوقی به حقیقی (-16 میلیارد تومان در ۲۰ روز) | 58٪ بالای MA200 | سرانه خرید ضعیف (0.77) | واگرایی منفی | صف فروش در ۵ روز اخیر
توریل,توکاریل,حمل ونقل، انبارداری و ارتباطات,61.6,زیر نظر,90,35,28.5,82,3280,20260926,-7.3,-2.8,12.7,-25.9,-3.1,11.5,24.1,50.7,2,0,false,27.3,3.9,above,-10.9,0.61,3179,3530,-0.95,45.52,0.8,-5.97,12.8,616,5.32,7.68,-30.7,3179,3115,3530,3680,1.51,واگرایی منفی RSI | عرضه حقوقی به حقیقی (-45 میلیارد تومان در ۲۰ روز) | سرانه خرید ضعیف (0.80) | واگرایی منفی
خشرق,الکتریک‌ خودرو شرق‌,خودرو و ساخت قطعات,61.6,زیر نظر,90,65,56.4,30,2770,20260926,-5,13.8,53.6,15,-1.5,18.7,41.5,56.8,5,1,false,53.7,3.95,above,-10.9,0.77,2509,3110,0.59,20.81,0.97,-0.12,10.27,137,20.22,,,2661,2497,3110,3329,1.24,عرضه حقوقی به حقیقی (-21 میلیارد تومان در ۲۰ روز) | حد ضرر دور (9.9٪) | صف فروش در ۵ روز اخیر
وتوسم,سرمایه‌گذاری‌توسعه‌ملی‌,سرمایه گذاریها,61.5,زیر نظر,100,65,27,47,4380,20260926,-5.8,26.7,74.5,35.9,3,30.9,83.2,66.2,5,0,false,64.6,3.39,above,-7.6,0.3,4145,4435,0.64,-99.27,0.66,-6.07,21.71,591,7.41,7.13,3.9,4231,4071,4435,4740,0.18,واگرایی منفی RSI | خروج مستمر پول حقیقی | رشد عمودی (74٪ در ۶۰ روز، 31٪ بالای MA50) | 83٪ بالای MA200 | سرانه خرید ضعیف (0.66) | واگرایی منفی | حد ضرر دور (7.1٪) | شناوری کم (12٪)
